Time,C_B_target,CYP3A4_1A_n1_SOC,CYP3A4_1A_n2_SOC,CYP3A4_1A_n3_SOC,CYP3A4_1A_n4_SOC,CYP3A4_2_n1_SOC,CYP3A4_3_n1_SOC,CYP3A4_4_n1_SOC,CYP3A4_5_n1_SOC,CYP3A4_7_n1_SOC,CYP3A4_8_n1_SOC,CYP3A4_9_n1_SOC,CYP3A4_10_n1_SOC,CYP3A4_11_n1_SOC,CYP3A4_12_n1_SOC,CYP3A4_13_n1_SOC,CYP3A4_14_n1_SOC,CYP3A4_15_n1_SOC,CYP3A4_15_n3_SOC,CYP3A4_15_n4_SOC,CYP3A4_16_n1_SOC,CYP3A4_17_n1_SOC,CYP3A4_18_n1_SOC,CYP3A4_19_n1_SOC,CYP3A4_20_n1_SOC,CYP3A4_21_n1_SOC,CYP3A4_23_n1_SOC,CYP3A4_24_n1_SOC,CYP3A4_28_n1_SOC,CYP3A4_29_n1_SOC,CYP3A4_29_n2_SOC,CYP3A4_29_n3_SOC,CYP3A4_29_n4_SOC,CYP3A4_31_n1_SOC,CYP3A4_32_n1_SOC,CYP3A4_33_n1_SOC,CYP3A4_34_n1_SOC,CYP3A4_34_n3_SOC,CYP3A4_34_n4_SOC
1060.0,0.029035559001,0.029035559001,0.029035559001,0.029035559001,0.029035559001,0.33064887415,0.26491952926,0.22744909604,0.37511891416,0.35302089625,0.46850028336,0.29550622355,0.25742883091,0.062667024445,0.46850339253,0.42303510244,0.26158938637,0.012925399004,0.012925399004,0.012925399004,0.24451602296,0.48419634525,0.30699825798,0.14688168435,0.45148940785,0.47019750653,0.17829093647,0.25353732901,0.029297581453,7.6205827472e-05,7.6205827472e-05,7.6205827472e-05,7.6205827472e-05,0.1095482896,0.062226921288,0.18204935623,0.021598434148,0.021598434148,0.021598434148
1065.0,0.028646890034,0.028646890034,0.028646890034,0.028646890034,0.028646890034,0.32999207867,0.26411685012,0.22659693296,0.3745966768,0.35242841703,0.46833889946,0.29476283204,0.25661406078,0.062053676666,0.46834202169,0.42268577376,0.26078115879,0.012703767327,0.012703767327,0.012703767327,0.24368281514,0.48410479987,0.30628104697,0.14602949876,0.45125515017,0.47004355558,0.17741865679,0.25271671432,0.028906449266,7.3106709649e-05,7.3106709649e-05,7.3106709649e-05,7.3106709649e-05,0.10876169069,0.061615516386,0.18117623252,0.021279476575,0.021279476575,0.021279476575
1070.0,0.028263422678,0.028263422678,0.028263422678,0.028263422678,0.028263422678,0.32933658767,0.26331660151,0.22574796168,0.37407516624,0.35183693147,0.46817757115,0.29402130952,0.25580186749,0.061446331485,0.46818070641,0.4223367333,0.25997542631,0.012485935614,0.012485935614,0.012485935614,0.24285244367,0.4840132718,0.30556551013,0.14518225489,0.451021014,0.46988965503,0.17655064157,0.25189875376,0.028520537202,7.0133625819e-05,7.0133625819e-05,7.0133625819e-05,7.0133625819e-05,0.10798073579,0.061010117027,0.18030729132,0.020965228265,0.020965228265,0.020965228265
1075.0,0.027885087347,0.027885087347,0.027885087347,0.027885087347,0.027885087347,0.32868239857,0.26251877607,0.22490217025,0.37355438147,0.35124643788,0.46801629839,0.2932816513,0.25499224288,0.060844930168,0.46801944669,0.42198798082,0.25917218125,0.012271838723,0.012271838723,0.012271838723,0.24202489893,0.48392176103,0.30485164357,0.1443399241,0.45078699929,0.46973580486,0.17568686999,0.25108343875,0.028139775634,6.7281450477e-05,6.7281450477e-05,6.7281450477e-05,6.7281450477e-05,0.10720538445,0.060410664256,0.17944251266,0.020655619717,0.020655619717,0.020655619717
1080.0,0.027511815387,0.027511815387,0.027511815387,0.027511815387,0.027511815387,0.32802950878,0.26172336646,0.22405954676,0.37303432148,0.35065693462,0.46785508118,0.29254385269,0.25418517886,0.060249414553,0.4678582425,0.42163951609,0.25837141593,0.012061412631,0.012061412631,0.012061412631,0.24120017129,0.48383026756,0.3041394434,0.14350247793,0.45055310596,0.46958200505,0.17482732133,0.25027076076,0.027764095865,6.4545266559e-05,6.4545266559e-05,6.4545266559e-05,6.4545266559e-05,0.10643559654,0.059817099697,0.17858187663,0.020350582455,0.020350582455,0.020350582455
1085.0,0.027143539061,0.027143539061,0.027143539061,0.027143539061,0.027143539061,0.32737791571,0.2609303654,0.22322007936,0.37251498526,0.35006842002,0.4676939195,0.29180790903,0.25338066733,0.059659727048,0.46769709381,0.42129133886,0.25757312271,0.011854594412,0.011854594412,0.011854594412,0.2403782512,0.48373879138,0.30342890572,0.14266988809,0.45031933397,0.46942825559,0.17397197497,0.24946071127,0.027393430112,6.1920356964e-05,6.1920356964e-05,6.1920356964e-05,6.1920356964e-05,0.10567133218,0.059229365544,0.17772536345,0.020050049011,0.020050049011,0.020050049011
1090.0,0.026780191538,0.026780191538,0.026780191538,0.026780191538,0.026780191538,0.32672761681,0.26013976558,0.22238375624,0.37199637181,0.34948089243,0.46753281332,0.29107381565,0.25257870023,0.059075810624,0.46753600062,0.4209434489,0.25677729397,0.011651322217,0.011651322217,0.011651322217,0.23955912911,0.4836473325,0.30272002667,0.14184212644,0.45008568324,0.46927455646,0.1731208104,0.24865328178,0.027027711494,5.9402196428e-05,5.9402196428e-05,5.9402196428e-05,5.9402196428e-05,0.1049125518,0.05864740456,0.17687295341,0.019753952915,0.019753952915,0.019753952915
1095.0,0.02642170688,0.02642170688,0.02642170688,0.02642170688,0.02642170688,0.32607860949,0.25935155975,0.22155056561,0.37147848011,0.3488943502,0.46737176262,0.29034156792,0.25177926953,0.05849760881,0.4673749629,0.42059584598,0.25598392213,0.011451535259,0.011451535259,0.011451535259,0.23874279552,0.4835558909,0.30201280238,0.14101916501,0.44985215371,0.46912090765,0.1722738072,0.24784846384,0.026666874022,5.6986443715e-05,5.6986443715e-05,5.6986443715e-05,5.6986443715e-05,0.10415921611,0.058071160068,0.17602462689,0.019462228674,0.019462228674,0.019462228674
1100.0,0.026068020029,0.026068020029,0.026068020029,0.026068020029,0.026068020029,0.32543089119,0.25856574066,0.22072049576,0.37096130917,0.34830879167,0.4672107674,0.28961116119,0.25098236722,0.057925065688,0.46721398063,0.42024852985,0.25519299959,0.011255173791,0.011255173791,0.011255173791,0.23792924096,0.48346446659,0.30130722899,0.14020097599,0.44961874532,0.46896730913,0.17143094506,0.247046249,0.026310852586,5.4668934139e-05,5.4668934139e-05,5.4668934139e-05,5.4668934139e-05,0.10341128608,0.057500575948,0.17518036439,0.019174811763,0.019174811763,0.019174811763
1105.0,0.0257190668,0.0257190668,0.0257190668,0.0257190668,0.0257190668,0.32478445935,0.25778230111,0.21989353501,0.37044485799,0.3477242152,0.46704982762,0.28888259084,0.25018798532,0.057358125886,0.4670530538,0.41990150029,0.25440451883,0.011062179089,0.011062179089,0.011062179089,0.23711845598,0.48337305956,0.30060330266,0.13938753174,0.44938545801,0.4688137609,0.17059220376,0.24624662887,0.025959582945,5.2445672379e-05,5.2445672379e-05,5.2445672379e-05,5.2445672379e-05,0.10266872299,0.056935596627,0.17434014648,0.018891638609,0.018891638609,0.018891638609
