Time,CYP3A4_1A_n1_OCT_N,CYP3A4_1A_n2_OCT_N,CYP3A4_1A_n3_OCT_N,CYP3A4_1A_n4_OCT_N,CYP3A4_2_n1_OCT_N,CYP3A4_3_n1_OCT_N,CYP3A4_4_n1_OCT_N,CYP3A4_5_n1_OCT_N,CYP3A4_7_n1_OCT_N,CYP3A4_8_n1_OCT_N,CYP3A4_9_n1_OCT_N,CYP3A4_10_n1_OCT_N,CYP3A4_11_n1_OCT_N,CYP3A4_12_n1_OCT_N,CYP3A4_13_n1_OCT_N,CYP3A4_14_n1_OCT_N,CYP3A4_15_n1_OCT_N,CYP3A4_15_n3_OCT_N,CYP3A4_15_n4_OCT_N,CYP3A4_16_n1_OCT_N,CYP3A4_17_n1_OCT_N,CYP3A4_18_n1_OCT_N,CYP3A4_19_n1_OCT_N,CYP3A4_20_n1_OCT_N,CYP3A4_21_n1_OCT_N,CYP3A4_23_n1_OCT_N,CYP3A4_24_n1_OCT_N,CYP3A4_28_n1_OCT_N,CYP3A4_29_n1_OCT_N,CYP3A4_29_n2_OCT_N,CYP3A4_29_n3_OCT_N,CYP3A4_29_n4_OCT_N,CYP3A4_31_n1_OCT_N,CYP3A4_32_n1_OCT_N,CYP3A4_33_n1_OCT_N,CYP3A4_34_n1_OCT_N,CYP3A4_34_n3_OCT_N,CYP3A4_34_n4_OCT_N
150.0,0.30234072254,0.30232972178,0.30232972177,0.30232972179,12.922268286,6.5231907906,4.3193380311,19.640275056,16.031259868,39.407288751,9.0308870185,6.0125822442,0.53455975068,39.407385706,29.087394956,6.290146669,0.21710771922,0.21710771953,0.27005724834,5.2167023931,43.032004178,10.169922706,1.6788113394,35.476036161,39.800373339,2.4522303754,5.7627491794,0.30399960855,0.24889124798,0.26176096078,0.26432029867,0.24993282898,1.0417010441,0.53114489162,2.5617126035,0.26128592673,0.26128592673,0.26220375024
155.0,0.25957334292,0.25956363502,0.25956363502,0.25956363503,12.182972122,6.0230517741,3.9400000084,18.761303116,15.216157418,38.493859735,8.4208193157,5.5381124731,0.46268138722,38.493957535,28.135756461,5.8015675239,0.18638268592,0.18638268619,0.22909948787,4.7848871801,42.155146022,9.5174349637,1.4918091974,34.535809277,38.89037851,2.2013365363,5.3013082354,0.26100577682,0.22514793117,0.23701052192,0.23937085577,0.22610759688,0.91466166247,0.45966835001,2.3023835878,0.22414735536,0.22414735536,0.22495631562
160.0,0.22328039531,0.22327182089,0.22327182089,0.2232718209,11.48731065,5.562571984,3.595175104,17.922828869,14.443770058,37.601955435,7.8533247114,5.1023785909,0.40099948949,37.602053986,27.216040454,5.3522430622,0.1603968949,0.16039689514,0.19486225492,4.390071904,41.296363218,8.9081738862,1.3265022133,33.621017324,38.001525932,1.9771121881,4.8780996964,0.22451795674,0.20446999676,0.21543626331,0.21761939089,0.20535678964,0.80382423918,0.39834044988,2.0703228,0.1926936272,0.1926936272,0.19340740101
165.0,0.1924237517,0.19241617154,0.19241617154,0.19241617155,10.832631909,5.1385066333,3.2816190179,17.122934058,13.711794464,36.731059635,7.3253407613,4.7021168542,0.34799799723,36.731158847,26.327149544,4.9389187813,0.13836647319,0.13836647341,0.16616906819,4.0289831614,40.455278142,8.3391885382,1.1802785739,32.730957726,37.133315888,1.7766214818,4.4898539009,0.19349356074,0.1863939517,0.1965604833,0.19858541871,0.18721575087,0.70703766574,0.34565076453,1.8625615384,0.16599907366,0.16599907366,0.16662956015
170.0,0.16614028917,0.16613358164,0.16613358163,0.16613358164,10.216449657,4.7478843068,2.9964018339,16.359793746,13.018054953,35.880668751,6.8340316979,4.334346744,0.30239593979,35.880768537,25.468025004,4.5586180482,0.11964510512,0.11964510531,0.14206111736,3.6986459288,39.631521199,7.8077352187,1.0508517565,31.864947749,36.285260708,1.59726237,4.1335892144,0.16706563397,0.1705351915,0.1799864,0.18186976994,0.17129887957,0.62244707757,0.30032332558,1.6764648633,0.14329700915,0.14329700915,0.14385456284
175.0,0.14371104599,0.14370510481,0.14370510481,0.14370510482,9.6364327415,4.3879832841,2.7368766733,15.631671663,12.36049622,35.05029151,6.3767711901,3.9963456949,0.26310956744,35.050391788,24.637645382,4.2086177087,0.10369861686,0.10369861703,0.1217549901,3.3963555896,38.824730639,7.3112625103,0.9362187209,31.022323929,35.456884472,1.4367274952,3.806585939,0.14451192477,0.15657325471,0.16538309238,0.1671394716,0.15728485881,0.54845166133,0.26127881532,1.5096929334,0.12395111153,0.12395111153,0.12444474572
180.0,0.12453603601,0.12453076834,0.12453076834,0.12453076835,9.0903951559,4.056309967,2.5006515605,14.936915777,11.737176496,34.239448645,5.9511264494,3.6856261395,0.22922079889,34.239549335,23.835025145,3.8864258938,0.090084476401,0.090084476552,0.10460897083,3.1196526547,38.034552396,6.8473974348,0.83462363518,30.202441512,34.647722716,1.2929697922,3.5063626503,0.12522962423,0.14424005587,0.15247347057,0.15411566624,0.144904867,0.48366866156,0.22760307199,1.3601669478,0.10743217599,0.10743217599,0.10786973985
185.0,0.10811364487,0.10810896954,0.10810896954,0.10810896955,8.5762867616,3.7505792222,2.2855641603,14.273954101,11.146261114,33.447672591,5.5548435742,3.3999146501,0.19995089699,33.44777362,23.059213388,3.5897618219,0.078435218321,0.078435218456,0.090096104189,2.8662999097,37.260639911,6.4139326321,0.74452638167,29.404673916,33.857322152,1.1641722202,3.2306547296,0.10871469704,0.133310454,0.14102462433,0.14256391754,0.13393312832,0.42690264903,0.19852081952,1.2260391311,0.093299194395,0.093299194394,0.093687526917
190.0,0.094023743098,0.094019589153,0.094019589153,0.094019589158,8.0921846137,3.4686964613,2.0896590888,13.641290714,10.586016436,32.674507198,5.1858340329,3.137132982,0.17463847784,32.674608492,22.309292586,3.3165374119,0.068445010136,0.068445010256,0.077782610838,2.6342617505,36.502653977,6.008814484,0.66457519547,28.628412203,33.085240395,1.0487211163,2.9773948815,0.094544937966,0.12359466102,0.1308400466,0.13228639791,0.12417930591,0.37711925861,0.17337372638,1.1056662691,0.081183923508,0.081183923508,0.081528987142
195.0,0.081913820336,0.081910125686,0.081910125685,0.08191012569,7.6362848564,3.2087413038,1.9111675269,13.037501977,10.054804146,31.919507438,4.8421621955,2.8953808393,0.15272111646,31.91960893,21.58437739,3.0648405407,0.059858739212,0.059858739318,0.067310548678,2.4216854924,35.760262576,5.6301321128,0.59358287846,27.873064572,32.33104569,0.94518272461,2.7446954504,0.082366057014,0.11493210574,0.12175334221,0.12311556689,0.11548235313,0.33342272764,0.1516020567,0.99758636248,0.070778273345,0.070778273345,0.071085269859
