Time,CYP3A4_2_OCT_N,CYP3A4_3_OCT_N,CYP3A4_4_OCT_N,CYP3A4_5_OCT_N,CYP3A4_7_OCT_N,CYP3A4_8_OCT_N,CYP3A4_9_OCT_N,CYP3A4_10_OCT_N,CYP3A4_11_OCT_N,CYP3A4_12_OCT_N,CYP3A4_13_OCT_N,CYP3A4_14_OCT_N,CYP3A4_15_OCT_N,CYP3A4_16_OCT_N,CYP3A4_17_OCT_N,CYP3A4_18_OCT_N,CYP3A4_19_OCT_N,CYP3A4_20_OCT_N,CYP3A4_21_OCT_N,CYP3A4_23_OCT_N,CYP3A4_24_OCT_N,CYP3A4_28_OCT_N,CYP3A4_29_OCT_N,CYP3A4_31_OCT_N,CYP3A4_32_OCT_N,CYP3A4_33_OCT_N,CYP3A4_34_OCT_N
17.0,47.635316572,46.25515866,45.32725768,48.435267343,48.048894905,49.865644975,46.931100902,46.079160583,38.383043392,49.865674132,49.205619898,46.177395912,33.87941585,45.765046474,50.079585839,47.169017856,42.780418927,49.626050965,49.889098169,43.88709522,45.985998336,35.164597455,30.981990126,41.18089618,38.355168194,44.008850273,34.871581693
17.5,46.917022303,45.519773819,44.581121957,47.727468041,47.335973374,49.17766275,46.203923874,45.341690412,37.576786814,49.177692328,48.508327633,45.441087074,33.058885235,45.023908072,49.394681727,46.444804303,42.007944769,48.934656509,49.201451947,43.125484346,45.247433015,34.3439671,30.189414766,40.394354438,37.548744156,43.248489602,34.051663323
18.0,46.209702587,44.796301955,43.847545176,47.030112277,46.633750649,48.499199409,45.488196787,44.616254836,36.788235998,48.49922939,47.820976877,44.716744895,32.259587982,44.295022387,48.719161029,45.731879273,41.249859187,48.252933539,48.523309721,42.377457344,44.520966839,33.543548157,29.420291293,39.623387861,36.760047358,42.50162515,33.252196409
18.5,45.513187535,44.084546507,43.126311339,46.343044439,45.942064324,47.830122826,44.78373647,43.902653703,36.016985933,47.830153192,47.143424985,44.004171235,31.480941799,43.578182745,48.052894912,45.030064156,40.505886176,47.580746173,47.854539729,41.64276552,43.806397738,32.762818134,28.67384559,38.867677438,35.988671867,41.768011109,32.472643315
19.0,44.82730992,43.384314219,42.41720824,45.666111257,45.260754492,47.170302716,44.09036273,43.200690254,35.26264123,47.170333449,46.475531374,43.303171294,30.722381213,42.87318603,47.395756319,44.339183212,39.775755178,46.917960447,47.195012043,40.921164848,43.103527079,32.001268658,27.949331486,38.126910908,35.234221405,41.047406261,31.712481226
19.5,44.151905141,42.695415078,41.720027401,44.999161772,44.589663699,46.519610611,43.4078983,42.51017106,34.524815885,46.519641694,45.817157493,42.613553555,29.98335706,42.179832617,46.747619942,43.659063523,39.059200968,46.264444291,46.544598543,40.212415882,42.412159612,31.258405075,27.246029668,37.400782605,34.49630911,40.339573888,30.971201724
20.0,43.486811175,42.017662263,41.034564004,44.342047291,43.92863691,45.877919829,42.736168796,41.830905971,33.803133047,45.877951246,45.168166792,41.935129732,29.263335997,41.497926315,46.108362199,42.989534949,38.355963548,45.620067498,45.903172892,39.516283666,41.732103406,30.533746068,26.563246637,36.688993319,33.774557306,39.64428169,30.248310369
20.5,42.831868541,41.350872091,40.360616821,43.694621364,43.277521469,45.245105458,42.075002664,41.162708054,33.097224797,45.245137192,44.528424693,41.267714709,28.561800017,40.827274303,45.477861208,42.330430076,37.665788041,44.9847017,45.270610509,38.832537651,41.063169796,29.826823276,25.900313707,35.991250154,33.068597274,38.961301699,29.543326301
21.0,42.186920258,40.69486396,39.697988157,43.056739739,42.636167063,44.621044324,41.424231136,40.505393543,32.406731924,44.621076358,43.89779856,40.61112649,27.878245992,40.167687074,44.855996766,41.681584182,36.988424589,44.358220339,44.646788549,38.16095161,40.405173323,29.137180937,25.256586046,35.307266392,32.378069036,38.290410192,28.855781853
21.5,41.551811806,40.049460298,39.046483782,42.428260338,42.004425686,44.005614966,40.783688183,39.858781777,31.731303713,44.005647287,43.276157677,39.965186143,27.212185221,39.518978376,44.242650324,41.042835184,36.323628248,43.740498646,44.031585874,37.501303549,39.75793168,28.464375532,24.631441758,34.636761357,31.702621136,37.631387619,28.185222165
22.0,40.926391083,39.414486509,38.40591287,41.809043216,41.382151602,43.39869762,40.153210473,39.222695153,31.070597741,43.398730212,42.663373209,39.329717749,26.563143001,38.880965153,43.637704965,40.414023599,35.67115889,43.131413611,43.424883033,36.853375634,39.121265658,27.807975442,24.024281002,33.979460283,31.041910434,36.984018514,27.531204824
22.5,40.310508373,38.789770929,37.776087938,41.198950534,40.769201312,42.800174186,39.532637319,38.596959071,30.424279665,42.800207034,42.059318187,38.704548347,25.930658201,38.253467491,43.041045381,39.794992501,35.030781108,42.530843961,42.826562234,36.216954106,38.494999091,27.167560617,23.434525143,33.33509419,30.395601899,36.348091422,26.893299508
23.0,39.704016302,38.175144766,37.156824786,40.597846526,40.165433514,42.209928211,38.921810644,37.98140188,29.792023033,42.209961301,41.46386747,38.089507889,25.314282859,37.636308566,42.452557851,39.185587482,34.402264116,41.938670134,42.236507325,35.591829205,37.878958804,26.542722251,22.861615949,32.703399752,29.763368414,35.723398822,26.271087635
23.5,39.106769805,37.57044206,36.547942441,40.005597466,39.570709076,41.627844863,38.320574933,37.375854833,29.173509087,41.62787818,40.876897726,37.484429184,24.713581786,37.029314581,41.87213022,38.585656605,33.785381662,41.354774255,41.654603771,34.977795091,37.27297456,25.93306247,22.305014806,32.084119181,29.144890581,35.109737051,25.664162036
24.0,38.518626087,36.975499628,35.949263094,39.422071636,38.984890998,41.053810908,37.728777192,36.78015203,28.568426573,41.05384444,40.298287403,36.889147854,24.128132183,36.432314723,41.299651874,37.995050369,33.17991193,40.779040112,41.080738626,34.374649772,36.676879013,25.338194025,21.764201977,31.477000101,28.539856529,34.506906233,25.072126623
24.5,37.939444588,36.390157021,35.360612048,38.847139299,38.40784438,40.487714691,37.146266906,36.194130373,27.976471563,40.487748423,39.727916701,36.303502282,23.557523275,35.845141105,40.735013725,37.413621668,32.585637455,40.211353132,40.514800517,33.782195027,36.090507651,24.757740002,21.238675886,30.881795435,27.947961737,33.914710202,24.494596079
25.0,37.369086948,35.814256476,34.78181766,38.280672666,37.839436386,39.92944611,36.572896,35.617629519,27.397347273,39.92948003,39.165667549,35.727333567,23.001355946,35.267628716,40.178108182,36.84122575,32.002345035,39.65160036,39.956679621,33.200236339,35.513698756,24.191333526,20.727952431,30.298263289,27.368908846,33.332956436,23.931195549
25.5,36.807416971,35.247642869,34.212711289,37.722545869,37.279536221,39.378896595,36.008518794,35.050491828,26.83076389,39.37893069,38.611423582,35.160485477,22.459242399,34.699615371,39.628829138,36.277720183,31.42982564,39.099670431,39.406267638,32.628582817,34.946293348,23.638617489,20.231564327,29.726166841,26.802407492,32.761455986,23.381560344
26.0,36.25430059,34.690163672,33.653127237,37.172634929,36.728015087,38.835959089,35.452991971,34.492562321,26.276438402,38.835993348,38.06507011,34.602804404,21.930805811,34.140941663,39.087071942,35.722964811,30.867874338,38.555453553,38.863457778,32.067047131,34.38813514,23.099244279,19.749060471,29.165274227,26.24817413,32.200023408,22.845335653
26.5,35.709605837,34.141668906,33.102902705,36.630817729,36.184746164,38.300528026,34.906174533,33.943688632,25.73409443,38.300562435,37.5264941,34.054139316,21.415680017,33.591450913,38.552733386,35.176821726,30.316290201,38.018841482,38.328144733,31.515445445,33.839070496,22.57287551,19.280005339,28.615358441,25.705931873,31.648476697,22.322176261
27.0,35.173202803,33.602011102,32.561877732,36.096973985,35.649604571,37.772499306,34.367927761,33.403720965,25.203462074,37.772533855,36.995584147,33.514341718,20.913509185,33.05098912,38.025711681,34.63915522,29.774876235,37.4897275,37.80022466,30.973597347,33.298948377,22.059181777,18.823978403,28.076197223,25.175410324,31.10663722,21.811746284
27.5,34.644963614,33.071045253,32.029895153,35.570985219,35.122467338,37.251770282,33.838115184,32.872512045,24.684277747,37.251804959,36.472230454,32.983265605,20.423947514,32.51940492,37.505906436,34.109831761,29.243439292,36.968006395,37.279595158,30.441325787,32.767620305,21.557842398,18.380573571,27.547572961,24.656345424,30.574329653,21.313718897
28.0,34.124762391,32.548628777,31.506800542,35.05273473,34.60321338,36.738239732,33.316602538,32.349917082,24.176284029,36.738274526,35.956324806,32.46076742,19.946658939,31.996549536,36.993218645,33.588719947,28.72179,36.453574435,36.766155252,29.918457007,32.244940309,21.06854518,17.94939865,27.029272591,24.148479294,30.051381919,20.827776086
